1,"58605a05c8f2920d936e358f","10004040101",2,322,"2016-12-26 08:50:51.0","2016-12-26 08:56:14.0"
2,"58605a05c8f2920d936e358f","10053050304",2,283,"2016-12-26 08:56:14.0","2016-12-26 09:00:58.0"
3,"58605a05c8f2920d936e358f","10062070101",2,204,"2016-12-26 09:00:58.0","2016-12-26 09:04:22.0"
4,"58605a05c8f2920d936e358f","10028020502",2,132,"2016-12-26 09:04:23.0","2016-12-26 09:06:35.0"
5,"58605a05c8f2920d936e358f","10066030902",2,512,"2016-12-26 09:06:35.0","2016-12-26 09:15:08.0"
6,"58605a05c8f2920d936e358f","10079020202",2,207,"2016-12-26 09:15:08.0","2016-12-26 09:18:36.0"
7,"58605a05c8f2920d936e358f","10098030211",2,108,"2016-12-26 09:18:36.0","2016-12-26 09:20:25.0"
8,"58605a05c8f2920d936e358f","10109040101",2,146,"2016-12-26 09:20:25.0","2016-12-26 09:22:52.0"
9,"58609326c8f24f64efec83e9","10028020502",2,132,"2016-12-26 12:55:56.0","2016-12-26 12:58:08.0"
10,"58609326c8f24f64efec83e9","10062070101",2,204,"2016-12-26 12:58:09.0","2016-12-26 13:01:34.0"
11,"58605a05c8f2920d936e358f","10004040101",2,322,"2016-12-26 13:00:00.0","2016-12-26 13:05:23.0"
12,"58609326c8f24f64efec83e9","10066030902",2,512,"2016-12-26 13:01:34.0","2016-12-26 13:10:07.0"
13,"58605a05c8f2920d936e358f","10028020502",2,132,"2016-12-26 13:05:23.0","2016-12-26 13:07:36.0"
14,"58605a05c8f2920d936e358f","10066030902",2,512,"2016-12-26 13:07:36.0","2016-12-26 13:16:09.0"
15,"58609326c8f24f64efec83e9","10066040402",2,384,"2016-12-26 13:10:07.0","2016-12-26 13:16:40.0"
16,"58605a05c8f2920d936e358f","10079020202",2,207,"2016-12-26 13:16:09.0","2016-12-26 13:19:36.0"
17,"58609326c8f24f64efec83e9","10028020502",2,132,"2016-12-26 13:16:54.0","2016-12-26 13:19:06.0"
18,"58609326c8f24f64efec83e9","10062070101",3,0,"2016-12-26 13:19:06.0","2016-12-26 13:21:23.0"
19,"58605a05c8f2920d936e358f","10109040101",2,146,"2016-12-26 13:19:36.0","2016-12-26 13:22:03.0"
20,"58609326c8f24f64efec83e9","10028020502",2,132,"2016-12-26 13:21:38.0","2016-12-26 13:23:51.0"
21,"58609326c8f24f64efec83e9","10062070101",2,204,"2016-12-26 13:23:51.0","2016-12-26 13:27:20.0"
22,"58609326c8f24f64efec83e9","10066030902",2,512,"2016-12-26 13:27:20.0","2016-12-26 13:39:31.0"
23,"58609326c8f24f64efec83e9","10066040402",1,0,"2016-12-26 13:39:31.0","2016-12-26 13:39:31.0"
24,"58609326c8f24f64efec83e9","10028020502",6,13,"2016-12-26 13:41:35.0","2016-12-26 13:41:49.0"
25,"58609326c8f24f64efec83e9","10028020502",4,11,"2016-12-26 13:41:53.0","2016-12-26 13:42:05.0"
26,"58609326c8f24f64efec83e9","10062070101",4,4,"2016-12-26 13:42:05.0","2016-12-26 13:42:09.0"
27,"58609326c8f24f64efec83e9","10066030902",4,6,"2016-12-26 13:42:09.0","2016-12-26 13:42:16.0"
28,"58609326c8f24f64efec83e9","10066040402",3,0,"2016-12-26 13:42:16.0","2016-12-26 13:42:40.0"
29,"58609326c8f24f64efec83e9","10079020202",2,207,"2016-12-26 13:43:58.0","2016-12-26 13:47:27.0"
30,"58609326c8f24f64efec83e9","10079057501",2,169,"2016-12-26 13:47:27.0","2016-12-26 13:50:17.0"
31,"58609326c8f24f64efec83e9","10079057502",2,141,"2016-12-26 13:50:17.0","2016-12-26 13:52:41.0"
32,"58609326c8f24f64efec83e9","10098030101",4,164,"2016-12-26 13:52:44.0","2016-12-26 13:55:23.0"
